2,49, 0.263500,67.577800
2,59, 0.443700,97.660800
2,69, 0.727300,136.255800
2,79, 1.067800,228.192100
2,89, 2.079700,257.605600
2,99, 2.047700,294.859400
4,49, 0.299900,68.190300
4,59, 0.468500,103.954700
4,69, 0.705200,148.803700
4,79, 1.042600,188.599500
4,89, 2.948500,249.136500
4,99, 2.116400,289.141900
6,49, 0.357800,67.841500
6,59, 0.446000,96.864400
6,69, 0.820400,142.191700
6,79, 1.069600,182.527100
6,89, 1.494100,246.564300
6,99, 2.002400,296.333300
8,49, 0.298400,68.656000
8,59, 0.464400,101.290800
8,69, 0.704200,134.316900
8,79, 1.027500,178.016500
8,89, 1.453300,233.684000
8,99, 2.021700,285.248100
2,49, 0.264100,70.065300
2,59, 0.443500,100.281700
2,69, 1.002100,142.399100
2,79, 1.128300,179.012600
2,89, 1.545300,252.554100
2,99, 2.043000,296.296200
4,49, 0.279800,67.497000
4,59, 0.507100,107.602700
4,69, 0.716400,136.058900
4,79, 1.040100,191.602400
4,89, 1.522600,229.159600
4,99, 1.995100,286.199700
6,49, 0.277200,66.014800
6,59, 0.455900,101.295800
6,69, 0.997600,149.994500
6,79, 1.158500,182.167900
6,89, 1.556500,234.553000
6,99, 2.058900,289.133000
8,49, 0.266500,71.924200
8,59, 0.641100,105.521400
8,69, 0.696400,139.020400
8,79, 1.076100,181.372000
8,89, 1.439200,244.823500
8,99, 2.225900,308.220900
2,49, 0.273100,138.889600
2,59, 1.581400,140.534100
2,69, 0.710900,147.221400
2,79, 1.027400,182.461000
2,89, 1.503000,241.362800
2,99, 2.020700,299.996600
4,49, 0.355300,66.514700
4,59, 0.444200,98.055100
4,69, 0.780400,137.699400
4,79, 1.044400,179.364400
4,89, 1.523500,241.353700
4,99, 2.015700,297.672800
6,49, 0.262100,69.356300
6,59, 0.459400,98.972300
6,69, 0.695600,140.554300
6,79, 1.116700,183.856000
6,89, 1.926700,239.475000
6,99, 2.070700,294.873100
8,49, 0.265300,70.531600
8,59, 0.480200,105.522000
8,69, 0.956800,137.351600
8,79, 1.031000,182.457800
8,89, 1.468000,227.237400
8,99, 2.109200,291.243100
2,49, 0.265300,67.343300
2,59, 0.446400,113.314600
2,69, 0.762600,149.105900
2,79, 1.086000,178.343100
2,89, 1.461200,230.780300
2,99, 2.071400,293.631800
4,49, 0.469100,72.448700
4,59, 0.440700,95.665400
4,69, 0.686000,138.125400
4,79, 1.041400,178.089100
4,89, 1.490100,233.234300
4,99, 1.973500,291.236700
6,49, 0.263600,65.975800
6,59, 0.458700,97.362700
6,69, 0.703200,136.860100
6,79, 1.074800,173.460500
6,89, 1.513200,234.704900
6,99, 1.980300,295.254400
8,49, 0.263700,72.987800
8,59, 0.450100,101.192800
8,69, 0.728500,135.866500
8,79, 1.038800,195.127500
8,89, 1.559300,232.555900
8,99, 2.021600,313.885000
2,49, 0.266500,78.151200
2,59, 0.605300,119.729700
2,69, 0.709100,142.832600
2,79, 1.138600,197.311300
2,89, 1.833900,266.481000
2,99, 2.856000,316.267100
4,49, 0.280700,72.030600
4,59, 0.445600,107.449000
4,69, 0.713800,145.711800
4,79, 1.052600,182.394300
4,89, 1.523600,248.667000
4,99, 2.029200,288.991100
6,49, 0.264100,70.432300
6,59, 0.445000,101.236700
6,69, 0.703800,142.175800
6,79, 1.468600,179.557000
6,89, 1.783100,243.519200
6,99, 2.316100,296.932300
8,49, 0.373200,70.143800
8,59, 0.447700,106.844500
8,69, 0.699900,146.787800
8,79, 1.089500,194.010500
8,89, 1.505200,238.914700
8,99, 2.021600,295.607400
2,49, 0.300600,70.044600
2,59, 0.495900,101.525800
2,69, 1.225800,138.382300
2,79, 1.073300,200.297600
2,89, 1.514000,251.826000
2,99, 2.038100,315.282800
4,49, 0.345000,69.516800
4,59, 0.444800,100.367900
4,69, 0.716500,138.891300
4,79, 1.056200,183.921700
4,89, 2.040300,251.696800
4,99, 2.258700,297.982000
6,49, 0.265400,78.861100
6,59, 0.481800,118.303100
6,69, 0.718400,143.088300
6,79, 1.039900,188.845100
6,89, 1.480800,235.997500
6,99, 2.007900,289.895400
8,49, 0.287700,76.393400
8,59, 0.443500,96.961100
8,69, 0.702500,138.796700
8,79, 1.029000,181.536400
8,89, 1.498000,235.293900
8,99, 2.085400,288.112400
2,49, 0.393000,69.371300
2,59, 0.444200,100.114200
2,69, 0.729300,134.876500
2,79, 1.056100,187.857800
2,89, 1.435700,242.246900
2,99, 2.806100,298.442400
4,49, 0.275800,70.935900
4,59, 0.451600,99.549000
4,69, 0.699100,139.906700
4,79, 1.581600,182.763500
4,89, 1.498400,230.507600
4,99, 2.013400,301.767800
6,49, 0.264600,65.750200
6,59, 0.468400,96.616200
6,69, 0.706000,142.987200
6,79, 1.025400,177.366000
6,89, 2.088900,242.311100
6,99, 2.092600,287.235600
8,49, 0.264600,65.451900
8,59, 0.506200,106.015700
8,69, 0.699900,145.678600
8,79, 1.039400,189.739600
8,89, 1.531200,245.657500
8,99, 2.023700,289.254200
2,49, 0.264700,65.086700
2,59, 0.450600,104.860800
2,69, 0.715800,149.604900
2,79, 1.025600,176.914300
2,89, 1.482400,227.210100
2,99, 2.002300,290.709800
4,49, 0.438100,70.066100
4,59, 0.456200,101.147700
