2.311622,10.922978,19.616821,29.854252,38.816210,49.307730,59.558194,70.523233,80.753137,90.648560,99.737189,110.109220,120.507778,129.936085,139.665189,149.615804,159.093047,170.534185,179.252348,189.933568,196.261217,214.668000,220.006514,228.106086,241.104985,250.801657,260.177345,269.815595,278.940009,290.273880,300.241922,310.215995,319.659524,329.235341,339.888088,350.673471,360.376265,370.166684,378.855585,389.306747,399.651959,410.314300,419.199381,430.226438,440.961528,449.482249,459.728386,470.746372,478.855341,489.357287,498.907694,510.220840,521.226951,530.706113,540.249859,549.325866,559.686512,570.456293,580.737894,590.114149,599.431963,608.770381,619.262592,629.936934,639.054079,649.465792,659.758405,670.327297,679.001053,690.409640,699.413672,709.062774,719.831162,730.021027,741.874462,751.408783,761.088386,769.696132,779.200181,789.091479,799.727955,809.677739,819.355694,829.167643,838.124101,849.430379,858.373003,869.258261,879.579737,890.366232,899.389867,909.194222,920.502668,929.597003,940.537345,948.986915,958.708342,968.178794,981.210411,
2.366294,10.967567,19.601837,29.866722,38.801146,49.310002,59.551170,70.530491,80.756515,90.654221,99.736380,110.106665,120.517354,129.933145,139.663005,149.620379,159.073768,170.560940,179.233276,189.975950,196.142529,214.796612,219.979598,228.057613,241.137442,250.804989,260.174788,269.820556,278.918233,290.287288,300.241959,310.221240,319.658187,329.224667,339.886775,350.684177,360.375509,370.177494,378.838202,389.307690,399.648916,410.331768,419.178282,430.229332,440.983376,449.465242,459.720805,470.775009,478.831849,489.366495,498.890308,510.223867,521.242079,530.705575,540.254420,549.313152,559.682421,570.461151,580.746883,590.114772,599.431704,608.758949,619.260809,629.952274,639.041349,649.466890,659.755773,670.345904,678.974198,690.433272,699.407352,709.051690,719.836748,730.004706,741.897327,751.407517,761.098944,769.687294,779.196264,789.084118,799.734729,809.680458,819.354425,829.175985,838.101003,849.453560,858.353921,869.263720,879.575252,890.383620,899.382152,909.179405,920.524415,929.578968,940.561843,948.974464,958.710703,968.167488,981.216404,
2.419357,11.010484,19.587782,29.878605,38.786556,49.311989,59.544395,70.537557,80.759960,90.659799,99.735574,110.104264,120.526672,129.930345,139.660886,149.624627,159.055228,170.586722,179.215358,190.015962,196.028143,214.920991,219.954107,228.010192,241.168747,250.808575,260.172370,269.825152,278.897107,290.300184,300.242196,310.226361,319.656821,329.214185,339.885490,350.694636,360.374999,370.187884,378.821307,389.308393,399.646137,410.348615,419.157837,430.232173,441.004622,449.448737,459.713507,470.802718,478.809253,489.375073,498.873417,510.226806,521.256919,530.705258,540.258744,549.300709,559.678330,570.465961,580.755744,590.115476,599.431334,608.747732,619.259108,629.967141,639.029060,649.467798,659.753411,670.363806,678.948355,690.456056,699.401300,709.040830,719.841923,729.989030,741.919525,751.406636,761.109170,769.678713,779.192255,789.076942,799.741313,809.683178,819.353302,829.183891,838.078726,849.475806,858.335547,869.268808,879.571107,890.400516,899.374622,909.165048,920.545357,929.561805,940.585502,948.962563,958.712761,968.156382,981.222394,
2.470765,11.051674,19.574693,29.889878,38.772458,49.313680,59.537880,70.544425,80.763475,90.665292,99.734772,110.102022,120.535724,129.927689,139.658833,149.628535,159.037452,170.611496,179.198642,190.053510,195.918197,215.041008,219.930096,227.963841,241.198865,250.812429,260.170097,269.829371,278.876652,290.312550,300.242644,310.231354,319.655423,329.203900,339.884235,350.704843,360.374747,370.197839,378.804916,389.308843,399.643636,410.364820,419.138065,430.234960,441.025250,449.432746,459.706500,470.829472,478.787584,489.382995,498.857036,510.229653,521.271464,530.705172,540.262822,549.288542,559.674238,570.470723,580.764473,590.116264,599.430849,608.736734,619.257490,629.981521,639.017227,649.468505,659.751331,670.380977,678.923555,690.477966,699.395528,709.030198,719.846674,729.974021,741.941034,751.406155,761.119054,769.670397,779.188147,789.069957,799.747701,809.685900,819.352332,829.191343,838.057297,849.497087,858.317904,869.273509,879.567317,890.416907,899.367282,909.151163,920.565467,929.545544,940.608293,948.951232,958.714503,968.145482,981.228381,
2.520475,11.091086,19.562605,29.900520,38.758866,49.315064,59.531631,70.551090,80.767066,90.670696,99.733972,110.099945,120.544504,129.925180,139.656851,149.632090,159.020464,170.635229,179.183178,190.088509,195.812824,215.156539,219.907618,227.918578,241.227764,250.816564,260.167970,269.833198,278.856886,290.324370,300.243310,310.236216,319.653994,329.193814,339.883009,350.714791,360.374762,370.207347,378.789042,389.309032,399.641424,410.380365,419.118983,430.237692,441.045246,449.417282,459.699792,470.855245,478.766871,489.390240,498.841180,510.232404,521.285708,530.705325,540.266645,549.276660,559.670142,570.475438,580.773067,590.117140,599.430245,608.725960,619.255961,629.995402,639.005862,649.469002,659.749547,670.397396,678.899829,690.498976,699.390044,709.019799,719.850984,729.959698,741.961835,751.406090,761.128584,769.662354,779.183937,789.063168,799.753889,809.688625,819.351521,829.198326,838.036741,849.517373,858.301015,869.277810,879.563893,890.432779,899.360136,909.137764,920.584718,929.530215,940.630190,948.940490,958.715916,968.134795,981.234367,
2.568444,11.128670,19.551553,29.910509,38.745796,49.316130,59.525657,70.557544,80.770735,90.676010,99.733176,110.098037,120.553004,129.922825,139.654941,149.635282,159.004286,170.657891,179.169010,190.120874,195.712153,215.267463,219.886720,227.874420,241.255414,250.820991,260.165994,269.836621,278.837828,290.335629,300.244203,310.240944,319.652532,329.183932,339.881814,350.724472,360.375054,370.216393,378.773700,389.308948,399.639511,410.395230,419.100608,430.240367,441.064595,449.402356,459.693392,470.880011,478.747141,489.396785,498.825863,510.235058,521.299646,530.705724,540.270205,549.265068,559.666041,570.480106,580.781525,590.118106,599.429516,608.715413,619.254523,630.008771,638.994979,649.469281,659.748069,670.413039,678.877209,690.519061,699.384858,709.009639,719.854841,729.946082,741.981907,751.406456,761.137750,769.654591,779.179617,789.056582,799.759872,809.691352,819.350875,829.204824,838.017084,849.536637,858.284905,869.281695,879.560849,890.448119,899.353187,909.124864,920.603087,929.515846,940.651168,948.930355,958.716991,968.124324,981.240353,
2.614633,11.164380,19.541567,29.919827,38.733261,49.316867,59.519965,70.563783,80.774484,90.681233,99.732382,110.096302,120.561217,129.920625,139.653106,149.638097,158.988940,170.679452,179.156180,190.150527,195.616303,215.373668,219.867450,227.831386,241.281783,250.825724,260.164172,269.839628,278.819495,290.346311,300.245331,310.245533,319.651036,329.174257,339.880651,350.733882,360.375631,370.224965,378.758903,389.308584,399.637909,410.409400,419.082956,430.242984,441.083283,449.387980,459.687308,470.903745,478.728423,489.402610,498.811099,510.237610,521.313270,530.706378,540.273495,549.253774,559.661934,570.484727,580.789843,590.119167,599.428660,608.705098,619.253180,630.021617,638.984590,649.469333,659.746907,670.427885,678.855721,690.538198,699.379980,708.999722,719.858230,729.933192,742.001231,751.407265,761.146542,769.647116,779.175185,789.050203,799.765645,809.694082,819.350399,829.210825,837.998350,849.554851,858.269592,869.285150,879.558197,890.462916,899.346439,909.112475,920.620550,929.502464,940.671201,948.920846,958.717716,968.114077,981.246341,
2.659003,11.198170,19.532678,29.928455,38.721275,49.317268,59.514563,70.569802,80.778318,90.686363,99.731592,110.094746,120.569138,129.918585,139.651347,149.640527,158.974447,170.699885,179.144727,190.177393,195.525391,215.475044,219.849852,227.789493,241.306843,250.830772,260.162508,269.842208,278.801903,290.356404,300.246701,310.249982,319.649504,329.164792,339.879520,350.743014,360.376503,370.233052,378.744662,389.307929,399.636628,410.422858,419.066044,430.245542,441.101296,449.374164,459.681547,470.926424,478.710739,489.407695,498.796899,510.240058,521.326575,530.707293,540.276507,549.242782,559.657818,570.489299,580.798020,590.120325,599.427673,608.695019,619.251934,630.033926,638.974706,649.469151,659.746072,670.441916,678.835393,690.556362,699.375418,708.990054,719.861140,729.921044,742.019791,751.408531,761.154950,769.639936,779.170635,789.044036,799.771204,809.696817,819.350098,829.216313,837.980561,849.571990,858.255098,869.288165,879.555947,890.477157,899.339895,909.100609,920.637085,929.490093,940.690267,948.911978,958.718082,968.104058,981.252332,
2.701517,11.229997,19.524914,29.936376,38.709849,49.317323,59.509457,70.575596,80.782238,90.691397,99.730804,110.093372,120.576761,129.916709,139.649667,149.642561,158.960826,170.719164,179.134689,190.201405,195.439524,215.571489,219.833966,227.748758,241.330566,250.836147,260.161004,269.844349,278.785069,290.365892,300.248321,310.254287,319.647936,329.155541,339.878422,350.751862,360.377676,370.240643,378.730989,389.306977,399.635675,410.435588,419.049885,430.248040,441.118621,449.360920,459.676116,470.948026,478.694115,489.412022,498.783277,510.242401,521.339556,530.708477,540.279235,549.232098,559.653693,570.493825,580.806054,590.121582,599.426549,608.685179,619.250789,630.045690,638.965339,649.468729,659.745573,670.455111,678.816252,690.573535,699.371179,708.980639,719.863558,729.909656,742.037569,751.410266,761.162965,769.633057,779.165964,789.038086,799.776544,809.699556,819.349978,829.221277,837.963739,849.588030,858.241442,869.290725,879.554110,890.490831,899.333560,909.089276,920.652671,929.478757,940.708345,948.903766,958.718080,968.094271,981.258328,
2.742142,11.259823,19.518300,29.943575,38.698996,49.317024,59.504653,70.581161,80.786247,90.696335,99.730019,110.092184,120.584079,129.914999,139.648066,149.644190,158.948094,170.737265,179.126097,190.222496,195.358805,215.662906,219.819831,227.709199,241.352924,250.841857,260.159665,269.846042,278.769007,290.374765,300.250197,310.258446,319.646331,329.146506,339.877357,350.760423,360.379159,370.247727,378.717896,389.305720,399.635060,410.447575,419.034494,430.250477,441.135247,449.348258,459.671021,470.968530,478.678573,489.415574,498.770243,510.244635,521.352208,530.709936,540.281673,549.221728,559.649557,570.498302,580.813942,590.122941,599.425287,608.675582,619.249745,630.056898,638.956499,649.468060,659.745418,670.467454,678.798320,690.589694,699.367271,708.971481,719.865472,729.899044,742.054550,751.412480,761.170580,769.626485,779.161168,789.032356,799.781662,809.702300,819.350041,829.225706,837.947902,849.602948,858.228640,869.292822,879.552696,890.503928,899.327435,909.078488,920.667289,929.468480,940.725413,948.896225,958.717701,968.084721,981.264328,
